id_kota|id_provinsi|nama_kota|slug|tipe|created_at
32|2|Kota Denpasar|kota-denpasar|Kota|2026-05-13 19:35:25
75|8|Kabupaten Tanjung Jabung Timur|kabupaten-tanjung-jabung-timur|Kabupaten|2026-05-13 19:56:29
346|27|Kabupaten Yalimo|kabupaten-yalimo|Kabupaten|2026-05-13 21:53:17
37|3|Kota Cilegon|kota-cilegon|Kota|2026-05-13 19:40:08
371|31|Kabupaten Majene|kabupaten-majene|Kabupaten|2026-05-13 22:03:26
475|37|Kabupaten Ogan Komering Ulu Selatan|kabupaten-ogan-komering-ulu-selatan|Kabupaten|2026-05-13 22:39:48
166|11|Kabupaten Sumenep|kabupaten-sumenep|Kabupaten|2026-05-13 20:46:56
193|13|Kabupaten Balangan|kabupaten-balangan|Kabupaten|2026-05-13 20:57:25
138|10|Kota Semarang|kota-semarang|Kota|2026-05-13 20:31:14
229|15|Kota Samarinda|kota-samarinda|Kota|2026-05-13 21:09:42
402|33|Kabupaten Banggai Kepulauan|kabupaten-banggai-kepulauan|Kabupaten|2026-05-13 22:14:23
256|19|Kabupaten Pesisir Barat|kabupaten-pesisir-barat|Kabupaten|2026-05-13 21:18:46
436|35|Kabupaten Kepulauan Siau Tagulandang Biaro|kabupaten-kepulauan-siau-tagulandang-biaro|Kabupaten|2026-05-13 22:26:42
168|11|Kabupaten Tuban|kabupaten-tuban|Kabupaten|2026-05-13 20:48:15
129|10|Kabupaten Sragen|kabupaten-sragen|Kabupaten|2026-05-13 20:27:52
225|15|Kabupaten Paser|kabupaten-paser|Kabupaten|2026-05-13 21:09:00
18|1|Kabupaten Simeulue|kabupaten-simeulue|Kabupaten|2026-05-13 19:31:40
2|1|Kabupaten Aceh Barat Daya|kabupaten-aceh-barat-daya|Kabupaten|2026-05-13 19:18:47
1|1|Kabupaten Aceh Barat|kabupaten-aceh-barat|Kabupaten|2026-05-13 19:18:08
478|37|Kota Lubuk Linggau|kota-lubuk-linggau|Kota|2026-05-13 22:41:12
105|9|Kota Tasikmalaya|kota-tasikmalaya|Kota|2026-05-13 20:14:02
480|37|Kota Palembang|kota-palembang|Kota|2026-05-13 22:41:33
136|10|Kota Pekalongan|kota-pekalongan|Kota|2026-05-13 20:31:02
7|1|Kabupaten Aceh Tamiang|kabupaten-aceh-tamiang|Kabupaten|2026-05-13 19:21:46
451|36|Kabupaten Pasaman|kabupaten-pasaman|Kabupaten|2026-05-13 22:31:42
318|24|Kabupaten Jayapura|kabupaten-jayapura|Kabupaten|2026-05-13 21:39:55
240|17|Kabupaten Belitung Timur|kabupaten-belitung-timur|Kabupaten|2026-05-13 21:12:31
291|22|Kabupaten Sumbawa|kabupaten-sumbawa|Kabupaten|2026-05-13 21:29:55
67|7|Kota Gorontalo|kota-gorontalo|Kota|2026-05-13 19:52:53
284|21|Kota Tidore Kepulauan|kota-tidore-kepulauan|Kota|2026-05-13 21:27:47
344|27|Kabupaten Tolikara|kabupaten-tolikara|Kabupaten|2026-05-13 21:50:52
431|35|Kabupaten Bolaang Mongondow|kabupaten-bolaang-mongondow|Kabupaten|2026-05-13 22:25:11
289|22|Kabupaten Lombok Timur|kabupaten-lombok-timur|Kabupaten|2026-05-13 21:29:15
102|9|Kota Cirebon|kota-cirebon|Kota|2026-05-13 20:13:31
239|17|Kabupaten Belitung|kabupaten-belitung|Kabupaten|2026-05-13 21:12:22
443|35|Kota Kotamobagu|kota-kotamobagu|Kota|2026-05-13 22:29:32
317|24|Kabupaten Biak Numfor|kabupaten-biak-numfor|Kabupaten|2026-05-13 21:39:23
343|27|Kabupaten Pegunungan Bintang|kabupaten-pegunungan-bintang|Kabupaten|2026-05-13 21:50:00
415|34|Kabupaten Buton|kabupaten-buton|Kabupaten|2026-05-13 22:19:26
101|9|Kota Cimahi|kota-cimahi|Kota|2026-05-13 20:13:27
208|14|Kabupaten Barito Utara|kabupaten-barito-utara|Kabupaten|2026-05-13 21:03:15
328|25|Kabupaten Manokwari|kabupaten-manokwari|Kabupaten|2026-05-13 21:42:35
112|10|Kabupaten Cilacap|kabupaten-cilacap|Kabupaten|2026-05-13 20:17:56
437|35|Kabupaten Kepulauan Talaud|kabupaten-kepulauan-talaud|Kabupaten|2026-05-13 22:26:58
271|20|Kabupaten Seram Bagian Barat|kabupaten-seram-bagian-barat|Kabupaten|2026-05-13 21:24:11
135|10|Kota Magelang|kota-magelang|Kota|2026-05-13 20:30:58
444|35|Kota Manado|kota-manado|Kota|2026-05-13 22:29:39
503|38|Kabupaten Tapanuli Selatan|kabupaten-tapanuli-selatan|Kabupaten|2026-05-13 22:52:46
453|36|Kabupaten Pesisir Selatan|kabupaten-pesisir-selatan|Kabupaten|2026-05-13 22:32:16
354|29|Kabupaten Mimika|kabupaten-mimika|Kabupaten|2026-05-13 21:56:18
237|17|Kabupaten Bangka Selatan|kabupaten-bangka-selatan|Kabupaten|2026-05-13 21:11:57
403|33|Kabupaten Banggai Laut|kabupaten-banggai-laut|Kabupaten|2026-05-13 22:14:46
501|38|Kabupaten Serdang Bedagai|kabupaten-serdang-bedagai|Kabupaten|2026-05-13 22:51:10
456|36|Kabupaten Solok Selatan|kabupaten-solok-selatan|Kabupaten|2026-05-13 22:33:16
500|38|Kabupaten Samosir|kabupaten-samosir|Kabupaten|2026-05-13 22:50:52
301|23|Kabupaten Lembata|kabupaten-lembata|Kabupaten|2026-05-13 21:34:10
483|38|Kabupaten Batu Bara|kabupaten-batu-bara|Kabupaten|2026-05-13 22:42:51
275|21|Kabupaten Halmahera Barat|kabupaten-halmahera-barat|Kabupaten|2026-05-13 21:25:05
39|3|Kota Tangerang|kota-tangerang|Kota|2026-05-13 19:40:37
119|10|Kabupaten Klaten|kabupaten-klaten|Kabupaten|2026-05-13 20:22:14
299|23|Kabupaten Flores Timur|kabupaten-flores-timur|Kabupaten|2026-05-13 21:33:01
285|22|Kabupaten Bima|kabupaten-bima|Kabupaten|2026-05-13 21:28:01
464|36|Kota Solok|kota-solok|Kota|2026-05-13 22:34:37
177|11|Kota Probolinggo|kota-probolinggo|Kota|2026-05-13 20:50:30
23|1|Kota Subulussalam|kota-subulussalam|Kota|2026-05-13 19:32:57
230|16|Kabupaten Bulungan|kabupaten-bulungan|Kabupaten|2026-05-13 21:09:59
82|9|Kabupaten Bogor|kabupaten-bogor|Kabupaten|2026-05-13 19:59:36
462|36|Kota Payakumbuh|kota-payakumbuh|Kota|2026-05-13 22:34:21
238|17|Kabupaten Bangka Tengah|kabupaten-bangka-tengah|Kabupaten|2026-05-13 21:12:09
143|11|Kabupaten Blitar|kabupaten-blitar|Kabupaten|2026-05-13 20:33:04
472|37|Kabupaten Ogan Ilir|kabupaten-ogan-ilir|Kabupaten|2026-05-13 22:38:17
86|9|Kabupaten Garut|kabupaten-garut|Kabupaten|2026-05-13 20:03:42
486|38|Kabupaten Humbang Hasundutan|kabupaten-humbang-hasundutan|Kabupaten|2026-05-13 22:44:29
153|11|Kabupaten Magetan|kabupaten-magetan|Kabupaten|2026-05-13 20:39:43
409|33|Kabupaten Poso|kabupaten-poso|Kabupaten|2026-05-13 22:17:02
196|13|Kabupaten Hulu Sungai Selatan|kabupaten-hulu-sungai-selatan|Kabupaten|2026-05-13 20:59:09
296|23|Kabupaten Alor|kabupaten-alor|Kabupaten|2026-05-13 21:31:44
232|16|Kabupaten Nunukan|kabupaten-nunukan|Kabupaten|2026-05-13 21:10:39
104|9|Kota Sukabumi|kota-sukabumi|Kota|2026-05-13 20:13:52
214|14|Kabupaten Lamandau|kabupaten-lamandau|Kabupaten|2026-05-13 21:05:30
360|30|Kabupaten Indragiri Hilir|kabupaten-indragiri-hilir|Kabupaten|2026-05-13 21:59:12
513|38|Kota Tanjung Balai|kota-tanjung-balai|Kota|2026-05-13 22:56:31
41|4|Kabupaten Bengkulu Selatan|kabupaten-bengkulu-selatan|Kabupaten|2026-05-13 19:42:10
262|19|Kota Bandar Lampung|kota-bandar-lampung|Kota|2026-05-13 21:21:14
367|30|Kabupaten Rokan Hulu|kabupaten-rokan-hulu|Kabupaten|2026-05-13 22:02:10
27|2|Kabupaten Gianyar|kabupaten-gianyar|Kabupaten|2026-05-13 19:34:03
233|16|Kabupaten Tana Tidung|kabupaten-tana-tidung|Kabupaten|2026-05-13 21:11:17
