id_provinsi|nama_provinsi|slug|pulau|created_at
21|Maluku Utara|maluku-utara|Maluku|2026-05-13 21:25:04
33|Sulawesi Tengah|sulawesi-tengah|Sulawesi|2026-05-13 22:13:39
20|Maluku|maluku|Maluku|2026-05-13 21:21:50
27|Papua Pegunungan|papua-pegunungan|Papua|2026-05-13 21:47:08
31|Sulawesi Barat|sulawesi-barat|Sulawesi|2026-05-13 22:03:25
18|Kepulauan Riau|kepulauan-riau|Sumatera|2026-05-13 21:12:56
11|Jawa Timur|jawa-timur|Jawa|2026-05-13 20:31:54
37|Sumatera Selatan|sumatera-selatan|Sumatera|2026-05-13 22:34:40
9|Jawa Barat|jawa-barat|Jawa|2026-05-13 19:57:38
23|Nusa Tenggara Timur|nusa-tenggara-timur|Nusa Tenggara|2026-05-13 21:30:54
36|Sumatera Barat|sumatera-barat|Sumatera|2026-05-13 22:30:06
28|Papua Selatan|papua-selatan|Papua|2026-05-13 21:53:39
25|Papua Barat|papua-barat|Papua|2026-05-13 21:41:59
6|DKI Jakarta|dki-jakarta|Jawa|2026-05-13 19:49:29
24|Papua|papua|Papua|2026-05-13 21:39:22
2|Bali|bali|Bali|2026-05-13 19:33:11
32|Sulawesi Selatan|sulawesi-selatan|Sulawesi|2026-05-13 22:05:10
1|Aceh|aceh|Sumatera|2026-05-13 19:18:07
19|Lampung|lampung|Sumatera|2026-05-13 21:14:59
29|Papua Tengah|papua-tengah|Papua|2026-05-13 21:55:42
16|Kalimantan Utara|kalimantan-utara|Kalimantan|2026-05-13 21:09:58
17|Kepulauan Bangka Belitung|kepulauan-bangka-belitung|Sumatera|2026-05-13 21:11:32
35|Sulawesi Utara|sulawesi-utara|Sulawesi|2026-05-13 22:25:10
8|Jambi|jambi|Sumatera|2026-05-13 19:53:08
34|Sulawesi Tenggara|sulawesi-tenggara|Sulawesi|2026-05-13 22:18:51
26|Papua Barat Daya|papua-barat-daya|Papua|2026-05-13 21:44:06
30|Riau|riau|Sumatera|2026-05-13 21:58:52
10|Jawa Tengah|jawa-tengah|Jawa|2026-05-13 20:14:16
5|Daerah Istimewa Yogyakarta|daerah-istimewa-yogyakarta|Jawa|2026-05-13 19:46:58
13|Kalimantan Selatan|kalimantan-selatan|Kalimantan|2026-05-13 20:57:24
14|Kalimantan Tengah|kalimantan-tengah|Kalimantan|2026-05-13 21:02:42
3|Banten|banten|Jawa|2026-05-13 19:35:35
12|Kalimantan Barat|kalimantan-barat|Kalimantan|2026-05-13 20:51:20
4|Bengkulu|bengkulu|Sumatera|2026-05-13 19:42:07
15|Kalimantan Timur|kalimantan-timur|Kalimantan|2026-05-13 21:06:55
38|Sumatera Utara|sumatera-utara|Sumatera|2026-05-13 22:42:10
22|Nusa Tenggara Barat|nusa-tenggara-barat|Nusa Tenggara|2026-05-13 21:28:00
7|Gorontalo|gorontalo|Sulawesi|2026-05-13 19:50:45
